"sub.id" "task.id" "Bas.run1" "Pro.run1" "Rea.run1" "Bas.run2" "Pro.run2" "Rea.run2"
"107" "DMCC2442951" "Stern" "04-12-2019" "04-19-2019" "04-29-2019" "04-12-2019" "04-19-2019" "04-29-2019"
"108" "DMCC2442951" "Stroop" "04-12-2019" "04-19-2019" "04-29-2019" "04-12-2019" "04-19-2019" "04-29-2019"
"109" "DMCC2609759" "Axcpt" "03-13-2019" "04-05-2019" "04-07-2019" "03-13-2019" "04-05-2019" "04-07-2019"
"110" "DMCC2609759" "Cuedts" "03-13-2019" "04-05-2019" "04-07-2019" "03-13-2019" "04-05-2019" "04-07-2019"
"111" "DMCC2609759" "Stern" "03-13-2019" "04-05-2019" "04-07-2019" "03-13-2019" "04-05-2019" "04-07-2019"
"112" "DMCC2609759" "Stroop" "03-13-2019" "04-05-2019" "04-07-2019" "03-13-2019" "04-05-2019" "04-07-2019"
"113" "DMCC2803654" "Axcpt" "12-22-2017" "02-08-2018" "12-28-2017" "12-22-2017" "02-08-2018" "12-28-2017"
"114" "DMCC2803654" "Cuedts" "12-22-2017" "02-08-2018" "12-28-2017" "12-22-2017" "02-08-2018" "12-28-2017"
"115" "DMCC2803654" "Stern" "12-22-2017" "02-08-2018" "12-28-2017" "12-22-2017" "02-08-2018" "12-28-2017"
"116" "DMCC2803654" "Stroop" "12-22-2017" "02-08-2018" "12-28-2017" "12-22-2017" "02-08-2018" "12-28-2017"
"117" "DMCC2834766" "Axcpt" "12-29-2017" "12-30-2017" "01-28-2018" "12-29-2017" "12-30-2017" "01-28-2018"
"118" "DMCC2834766" "Cuedts" "12-29-2017" "12-30-2017" "01-28-2018" "12-29-2017" "12-30-2017" "01-28-2018"
"119" "DMCC2834766" "Stern" "12-29-2017" "12-30-2017" "01-28-2018" "12-29-2017" "12-30-2017" "01-28-2018"
"120" "DMCC2834766" "Stroop" "12-29-2017" "12-30-2017" "01-28-2018" "12-29-2017" "12-30-2017" "01-28-2018"
"121" "DMCC3091953" "Axcpt" "05-09-2021" "05-23-2021" "05-15-2021" "05-09-2021" "05-23-2021" "05-15-2021"
"122" "DMCC3091953" "Cuedts" "05-09-2021" "05-23-2021" "05-15-2021" "05-09-2021" "05-23-2021" "05-15-2021"
"123" "DMCC3091953" "Stern" "05-09-2021" "05-23-2021" "05-15-2021" "05-09-2021" "05-23-2021" "05-15-2021"
"124" "DMCC3091953" "Stroop" "05-09-2021" "05-23-2021" "05-15-2021" "05-09-2021" "05-23-2021" "05-15-2021"
"125" "DMCC3876181" "Axcpt" "02-28-2021" "03-20-2021" "03-14-2021" "02-28-2021" "03-20-2021" "03-14-2021"
"126" "DMCC3876181" "Cuedts" "02-28-2021" "03-20-2021" "03-14-2021" "02-28-2021" "03-20-2021" "03-14-2021"
"127" "DMCC3876181" "Stern" "02-28-2021" "03-20-2021" "03-14-2021" "02-28-2021" "03-20-2021" "03-14-2021"
"128" "DMCC3876181" "Stroop" "02-28-2021" "03-20-2021" "03-14-2021" "02-28-2021" "03-20-2021" "03-14-2021"
"129" "DMCC3963378" "Axcpt" "04-01-2019" "04-08-2019" "04-20-2019" "04-01-2019" "04-08-2019" "04-20-2019"
"130" "DMCC3963378" "Cuedts" "04-01-2019" "04-08-2019" "04-20-2019" "04-01-2019" "04-08-2019" "04-20-2019"
"131" "DMCC3963378" "Stern" "04-01-2019" "04-08-2019" "04-20-2019" "04-01-2019" "04-08-2019" "04-20-2019"
"132" "DMCC3963378" "Stroop" "04-01-2019" "04-08-2019" "04-20-2019" "04-01-2019" "04-08-2019" "04-20-2019"
"133" "DMCC4191255" "Axcpt" "12-16-2017" "12-18-2017" "12-30-2017" "12-16-2017" "12-18-2017" "12-30-2017"
"134" "DMCC4191255" "Cuedts" "12-16-2017" "12-18-2017" "12-30-2017" "12-16-2017" "12-18-2017" "12-30-2017"
"135" "DMCC4191255" "Stern" "12-16-2017" "12-18-2017" "12-30-2017" "12-16-2017" "12-18-2017" "12-30-2017"
"136" "DMCC4191255" "Stroop" "12-16-2017" "12-18-2017" "12-30-2017" "12-16-2017" "12-18-2017" "12-30-2017"
"137" "DMCC5009144" "Axcpt" "01-24-2019" "01-26-2019" "01-27-2019" "01-24-2019" "01-26-2019" "01-27-2019"
"138" "DMCC5009144" "Cuedts" "01-24-2019" "01-26-2019" "01-27-2019" "01-24-2019" "01-26-2019" "01-27-2019"
"139" "DMCC5009144" "Stern" "01-24-2019" "01-26-2019" "01-27-2019" "01-24-2019" "01-26-2019" "01-27-2019"
"140" "DMCC5009144" "Stroop" "01-24-2019" "01-26-2019" "01-27-2019" "01-24-2019" "01-26-2019" "01-27-2019"
"141" "DMCC5195268" "Axcpt" "06-30-2018" "07-12-2018" "07-06-2018" "06-30-2018" "07-12-2018" "07-06-2018"
"142" "DMCC5195268" "Cuedts" "06-30-2018" "07-12-2018" "07-06-2018" "06-30-2018" "07-12-2018" "07-06-2018"
"143" "DMCC5195268" "Stern" "06-30-2018" "07-12-2018" "07-06-2018" "06-30-2018" "07-12-2018" "07-06-2018"
