wave,session,task,run,subj,name,stimuli,number,letter,trial.type,cue,number.resp,letter.resp,award,switch,cue.color,target.color,target.color.orig,incentive,iti,acc,rt,resp,cresp,time.cue.onset.abs,time.target.onset.abs,time.rt.abs,time.scan.start,trial.num,time.cue.onset,time.target.onset,time.rt,time.block1.on,time.block2.on,time.block3.on,time.block1.off,time.block2.off,time.block3.off,trialtype
2,bas,cue,2,DMCC8033964,bas_cue_run2_DMCC8033964,B1,o,c,Con,n,2,2,,switch,red,black,black,NoInc,2000,1,734,2,2,414693,419199,419933,40390,27,374.303,378.809,379.543,28.408,274.404,520.412,246.019,492.014,738.023,ConNoInc
2,bas,cue,2,DMCC8033964,bas_cue_run2_DMCC8033964,2B,e,c,InCon,n,1,2,,stay,red,black,black,NoInc,4400,1,633,1,1,425492,429999,430632,40390,28,385.102,389.609,390.242,28.408,274.404,520.412,246.019,492.014,738.023,InConNoInc
2,bas,cue,2,DMCC8033964,bas_cue_run2_DMCC8033964,4D,e,c,InCon,n,1,2,,stay,red,black,green,Inc,3200,1,653,1,1,438705,443198,443851,40390,29,398.315,402.808,403.461,28.408,274.404,520.412,246.019,492.014,738.023,InConInc
2,bas,cue,2,DMCC8033964,bas_cue_run2_DMCC8033964,5H,o,c,Con,l,2,2,,switch,red,black,green,Inc,3200,1,777,2,2,450704,455197,455974,40390,30,410.314,414.807,415.584,28.408,274.404,520.412,246.019,492.014,738.023,ConInc
2,bas,cue,2,DMCC8033964,bas_cue_run2_DMCC8033964,D4,e,c,InCon,n,1,2,,switch,red,black,green,Inc,4400,1,714,1,1,462703,467196,467910,40390,31,422.313,426.806,427.52,28.408,274.404,520.412,246.019,492.014,738.023,InConInc
2,bas,cue,2,DMCC8033964,bas_cue_run2_DMCC8033964,A2,e,v,Con,n,1,1,,stay,red,black,black,NoInc,2000,1,617,1,1,475902,480395,481012,40390,32,435.512,440.005,440.622,28.408,274.404,520.412,246.019,492.014,738.023,ConNoInc
2,bas,cue,2,DMCC8033964,bas_cue_run2_DMCC8033964,2A,e,v,Con,n,1,1,,stay,red,black,black,NoInc,2000,1,689,1,1,486701,491194,491883,40390,33,446.311,450.804,451.493,28.408,274.404,520.412,246.019,492.014,738.023,ConNoInc
2,bas,cue,2,DMCC8033964,bas_cue_run2_DMCC8033964,1A,o,v,InCon,n,2,1,,stay,red,black,black,NoInc,4400,1,737,2,2,497500,501993,502730,40390,34,457.11,461.603,462.34,28.408,274.404,520.412,246.019,492.014,738.023,InConNoInc
2,bas,cue,2,DMCC8033964,bas_cue_run2_DMCC8033964,I6,e,v,Con,n,1,1,,stay,red,black,black,NoInc,2000,1,721,1,1,510699,515192,515913,40390,35,470.309,474.802,475.523,28.408,274.404,520.412,246.019,492.014,738.023,ConNoInc
2,bas,cue,2,DMCC8033964,bas_cue_run2_DMCC8033964,3E,o,v,InCon,l,2,1,,switch,red,black,green,Inc,3200,1,663,1,1,521499,525992,526655,40390,36,481.109,485.602,486.265,28.408,274.404,520.412,246.019,492.014,738.023,InConInc
2,bas,cue,2,DMCC8033964,bas_cue_run2_DMCC8033964,E3,o,v,InCon,l,2,1,,,red,black,green,Inc,4400,1,669,1,1,563495,568002,568671,40390,37,523.105,527.612,528.281,28.408,274.404,520.412,246.019,492.014,738.023,InConInc
2,bas,cue,2,DMCC8033964,bas_cue_run2_DMCC8033964,2A,e,v,Con,n,1,1,,switch,red,black,black,NoInc,3200,1,540,1,1,576695,581201,581741,40390,38,536.305,540.811,541.351,28.408,274.404,520.412,246.019,492.014,738.023,ConNoInc
2,bas,cue,2,DMCC8033964,bas_cue_run2_DMCC8033964,A1,o,v,InCon,l,2,1,,switch,red,black,black,NoInc,3200,1,618,1,1,588694,593200,593818,40390,39,548.304,552.81,553.428,28.408,274.404,520.412,246.019,492.014,738.023,InConNoInc
2,bas,cue,2,DMCC8033964,bas_cue_run2_DMCC8033964,5H,o,c,Con,n,2,2,,switch,red,black,black,NoInc,4400,1,702,2,2,600693,605199,605901,40390,40,560.303,564.809,565.511,28.408,274.404,520.412,246.019,492.014,738.023,ConNoInc
2,bas,cue,2,DMCC8033964,bas_cue_run2_DMCC8033964,1B,o,c,Con,n,2,2,,stay,red,black,black,NoInc,2000,1,622,2,2,613892,618398,619020,40390,41,573.502,578.008,578.63,28.408,274.404,520.412,246.019,492.014,738.023,ConNoInc
2,bas,cue,2,DMCC8033964,bas_cue_run2_DMCC8033964,B1,o,c,Con,l,2,2,,switch,red,black,black,NoInc,4400,1,586,2,2,624704,629197,629783,40390,42,584.314,588.807,589.393,28.408,274.404,520.412,246.019,492.014,738.023,ConNoInc
2,bas,cue,2,DMCC8033964,bas_cue_run2_DMCC8033964,D4,e,c,InCon,l,1,2,,stay,red,black,green,Inc,2000,1,726,2,2,637903,642396,643122,40390,43,597.513,602.006,602.732,28.408,274.404,520.412,246.019,492.014,738.023,InConInc
